gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned
Male,34,FR,Premium,278,83,0.24,Desktop,0,1,0
Male,44,AU,Premium,251,57,0.37,Desktop,0,1,0
Male,58,US,Student,158,52,0.27,Mobile,0,1,0
Female,41,PK,Family,14,41,0.59,Web,0,1,0
Female,52,UK,Premium,280,81,0.27,Desktop,0,1,1
Male,26,IN,Student,257,14,0.13,Web,0,1,0
Other,42,CA,Family,21,76,0.56,Web,0,1,1
Other,27,PK,Free,237,27,0.16,Web,40,0,0
Other,48,DE,Free,224,53,0.07,Mobile,43,0,0
Other,24,AU,Family,216,76,0.28,Mobile,0,1,0
Other,34,CA,Premium,137,97,0.32,Web,0,1,0
Other,28,DE,Free,209,84,0.53,Web,28,0,0
Female,17,FR,Free,36,30,0.19,Mobile,43,0,1
Other,50,PK,Free,95,50,0.49,Desktop,31,0,1
Female,35,AU,Premium,298,25,0.11,Mobile,0,1,1
Male,20,DE,Family,224,51,0.23,Desktop,0,1,1
Female,50,PK,Free,205,43,0.48,Desktop,47,0,0
Male,23,FR,Student,95,31,0.37,Web,0,1,0
Other,20,UK,Free,289,17,0.28,Desktop,35,0,0
Male,51,CA,Premium,168,28,0.54,Web,0,1,0
Female,18,PK,Free,211,48,0.48,Mobile,23,0,1
Male,29,DE,Premium,63,99,0.38,Mobile,0,1,0
Male,39,DE,Free,124,83,0.52,Mobile,35,0,0
Other,51,CA,Family,275,56,0.05,Web,0,1,0
Male,24,PK,Student,120,38,0.11,Mobile,0,1,0
Male,20,DE,Free,64,20,0.16,Mobile,20,0,1
Female,57,UK,Premium,121,86,0.08,Web,0,1,1
Other,16,AU,Free,184,12,0.2,Desktop,15,0,0
Male,18,PK,Family,219,54,0.06,Web,0,1,0
Male,16,DE,Free,184,40,0.01,Mobile,9,0,0
Female,50,UK,Family,30,37,0.25,Desktop,0,1,1
Male,23,DE,Free,55,46,0.41,Desktop,7,0,0
Female,53,AU,Premium,38,4,0.09,Mobile,0,1,0
Male,58,CA,Premium,281,58,0.16,Desktop,0,1,0
Female,31,DE,Premium,140,57,0.35,Mobile,0,1,1
Female,19,US,Student,130,17,0.35,Desktop,0,1,0
Female,36,US,Student,238,82,0.35,Web,0,1,1
Other,19,PK,Premium,295,53,0.55,Web,0,1,1
Other,26,IN,Free,265,31,0.41,Web,38,0,0
Other,16,US,Student,179,80,0.6,Desktop,0,1,0
Other,49,AU,Free,198,4,0.1,Desktop,36,0,0
Female,55,UK,Premium,180,17,0.08,Web,0,1,0
Other,21,DE,Student,267,89,0.52,Web,0,1,0
Other,48,CA,Free,126,22,0.58,Mobile,45,0,0
Female,38,IN,Family,233,94,0.29,Web,0,1,1
Male,59,PK,Student,161,95,0.59,Desktop,0,1,1
Female,31,CA,Student,100,70,0.43,Mobile,0,1,0
Female,24,US,Student,240,45,0.53,Web,0,1,1
Male,55,UK,Student,170,95,0.45,Mobile,0,1,0
Male,53,UK,Family,150,29,0.18,Desktop,0,1,0
Other,31,US,Family,203,79,0.15,Web,0,1,0
Female,49,AU,Free,226,31,0.24,Desktop,32,0,0
Other,49,UK,Premium,31,93,0.03,Desktop,0,1,0
Female,33,DE,Premium,81,34,0.09,Mobile,0,1,0
Other,59,PK,Free,62,99,0.55,Mobile,5,0,0
Female,58,AU,Free,202,22,0.45,Mobile,36,0,0
Other,49,PK,Free,207,33,0.09,Web,9,0,1
Male,42,DE,Student,20,38,0.6,Web,0,1,0
Other,24,AU,Free,113,42,0.56,Desktop,32,0,1
Male,33,IN,Free,168,42,0.12,Desktop,49,0,0
Other,20,IN,Student,251,79,0.37,Web,0,1,0
Other,42,IN,Free,222,95,0.04,Desktop,29,0,0
Female,16,DE,Free,74,33,0.12,Mobile,13,0,0
Male,37,CA,Premium,139,71,0.16,Desktop,0,1,0
Female,26,FR,Free,160,23,0.06,Web,45,0,0
Other,46,US,Premium,37,94,0.37,Web,0,1,0
Male,36,US,Family,199,4,0.12,Desktop,0,1,0
Other,32,FR,Free,204,87,0.42,Desktop,14,0,0
Other,18,IN,Family,181,67,0.56,Desktop,0,1,1
Other,20,DE,Premium,269,4,0.31,Web,0,1,0
Female,19,IN,Free,245,9,0.07,Mobile,42,0,0
Other,34,CA,Student,50,54,0.59,Web,0,1,0
Other,50,DE,Student,272,46,0.12,Web,0,1,0
Other,36,FR,Family,271,26,0.5,Web,0,1,0
Other,53,DE,Student,252,68,0.04,Web,0,1,1
Female,31,PK,Student,155,2,0.36,Desktop,0,1,1
Female,40,FR,Free,66,80,0.02,Mobile,48,0,1
Female,41,CA,Student,51,26,0.19,Web,0,1,0
Male,27,UK,Free,174,6,0.54,Mobile,7,0,0
Other,52,DE,Student,165,20,0.01,Desktop,0,1,1
Other,49,AU,Premium,73,39,0.11,Mobile,0,1,0
Male,51,DE,Student,10,11,0.09,Web,0,1,0
Female,19,FR,Premium,279,26,0.03,Web,0,1,0
Male,41,UK,Free,222,4,0.06,Mobile,26,0,1
Male,49,DE,Premium,39,6,0.54,Web,0,1,0
Male,17,FR,Premium,40,97,0.08,Mobile,0,1,1
Female,22,UK,Premium,254,86,0.45,Desktop,0,1,1
Male,31,UK,Family,227,23,0.55,Mobile,0,1,1
Female,19,FR,Premium,244,5,0.34,Web,0,1,0
Female,37,CA,Free,113,85,0.23,Mobile,27,0,1
Female,43,UK,Free,218,6,0.01,Mobile,15,0,1
Male,29,UK,Free,144,94,0.33,Desktop,19,0,0
Female,51,CA,Premium,143,48,0.09,Web,0,1,0
Male,41,CA,Premium,110,61,0.44,Mobile,0,1,0
Other,24,FR,Family,283,90,0.53,Web,0,1,0
Other,19,PK,Premium,276,15,0.28,Mobile,0,1,0
Male,48,IN,Premium,178,70,0.29,Desktop,0,1,0
Other,37,US,Premium,114,13,0.49,Desktop,0,1,0
Female,59,US,Free,98,24,0.32,Mobile,8,0,0
Female,54,IN,Family,49,27,0.29,Mobile,0,1,0
Female,36,AU,Premium,28,39,0.27,Web,0,1,0
Other,58,FR,Premium,259,67,0.17,Mobile,0,1,0
Other,20,CA,Free,279,84,0.43,Desktop,24,0,0
Other,18,AU,Premium,139,58,0.09,Web,0,1,1
Female,35,DE,Free,53,97,0.45,Desktop,29,0,0
Male,57,UK,Family,255,82,0.19,Mobile,0,1,0
Other,55,CA,Premium,259,20,0.01,Mobile,0,1,0
Other,53,PK,Free,112,33,0.34,Mobile,30,0,0
Other,22,US,Premium,260,75,0.36,Web,0,1,0
Other,51,IN,Premium,91,3,0.49,Desktop,0,1,0
Female,43,PK,Free,92,18,0.19,Mobile,25,0,0
Other,37,AU,Free,140,14,0.02,Mobile,31,0,0
Male,29,US,Premium,259,28,0.19,Desktop,0,1,1
Male,17,UK,Student,119,73,0.22,Desktop,0,1,0
Male,36,IN,Student,99,92,0.54,Web,0,1,1
Male,53,AU,Free,265,49,0.2,Desktop,41,0,1
Female,54,IN,Premium,299,93,0.27,Mobile,0,1,1
Female,59,AU,Free,255,75,0.56,Web,38,0,0
Other,42,DE,Family,157,96,0.48,Web,0,1,1
Other,36,AU,Family,176,15,0.11,Mobile,0,1,0
Female,22,AU,Student,146,45,0.44,Mobile,0,1,0
Male,19,DE,Family,211,64,0.15,Mobile,0,1,0
Male,47,IN,Premium,191,42,0.52,Mobile,0,1,1
Male,29,CA,Premium,218,72,0.29,Mobile,0,1,0
Other,32,CA,Family,128,94,0.48,Web,0,1,0
Other,47,US,Free,30,10,0.38,Web,37,0,0
Male,30,DE,Family,176,17,0.35,Mobile,0,1,0
Male,23,UK,Premium,50,45,0.08,Mobile,0,1,0
Other,37,FR,Free,267,72,0.12,Desktop,38,0,0
Other,17,PK,Student,20,84,0.45,Web,0,1,0
Female,45,US,Family,134,92,0.31,Mobile,0,1,0
Female,42,AU,Student,282,57,0.31,Mobile,0,1,0
Male,42,US,Premium,52,55,0.05,Web,0,1,1
Other,31,AU,Premium,97,37,0.59,Web,0,1,0
Female,53,IN,Free,58,63,0.45,Mobile,45,0,0
Other,47,AU,Premium,126,71,0.29,Desktop,0,1,1
Female,40,FR,Premium,172,48,0.54,Web,0,1,0
Female,35,PK,Free,258,36,0.2,Desktop,24,0,1
Female,33,IN,Free,291,31,0.29,Desktop,39,0,0
Other,44,DE,Free,27,96,0.04,Desktop,27,0,1
Other,41,UK,Family,262,32,0.47,Desktop,0,1,0
Male,32,DE,Premium,52,52,0.47,Desktop,0,1,1
Other,20,CA,Student,108,26,0.17,Web,0,1,0
Male,51,US,Premium,235,5,0.28,Desktop,0,1,0
Female,25,US,Student,213,36,0.28,Web,0,1,0
Other,32,PK,Premium,169,6,0.13,Web,0,1,1
Female,34,DE,Student,158,84,0.1,Mobile,0,1,1
Male,34,DE,Premium,293,30,0.16,Desktop,0,1,0
Male,45,DE,Premium,99,84,0.58,Web,0,1,1
Female,45,US,Student,194,40,0.59,Desktop,0,1,0
Other,50,US,Premium,126,86,0.52,Mobile,0,1,0
Female,45,UK,Family,102,18,0.08,Mobile,0,1,0
Female,55,PK,Free,210,32,0.15,Web,29,0,1
Female,32,US,Free,134,71,0.43,Mobile,14,0,0
Male,48,UK,Premium,62,25,0.53,Web,0,1,0
Other,36,US,Premium,183,29,0.53,Web,0,1,0
Other,39,DE,Premium,279,97,0.36,Mobile,0,1,0
Other,59,CA,Premium,159,48,0.21,Mobile,0,1,1
Male,23,US,Premium,187,22,0.14,Desktop,0,1,1
Other,41,UK,Family,57,3,0.41,Mobile,0,1,0
Female,31,FR,Family,133,88,0.07,Desktop,0,1,0
Male,48,IN,Student,168,78,0.41,Desktop,0,1,0
Female,21,AU,Family,251,47,0.55,Mobile,0,1,0
Other,18,AU,Family,71,18,0.0,Web,0,1,0
Female,25,FR,Student,178,84,0.32,Desktop,0,1,0
Male,56,IN,Student,206,64,0.1,Mobile,0,1,1
Male,34,FR,Free,36,12,0.22,Mobile,44,0,0
Other,25,CA,Family,122,69,0.09,Web,0,1,0
Male,24,PK,Premium,158,51,0.26,Web,0,1,0
Other,41,FR,Student,223,79,0.05,Mobile,0,1,0
Male,38,IN,Student,251,65,0.44,Desktop,0,1,0
Other,19,US,Family,294,5,0.44,Web,0,1,0
Other,25,IN,Student,12,2,0.34,Web,0,1,1
Male,55,IN,Family,218,58,0.36,Desktop,0,1,0
Male,17,UK,Free,49,26,0.54,Desktop,12,0,0
Female,50,FR,Student,66,13,0.58,Mobile,0,1,1
Other,39,DE,Free,295,20,0.09,Mobile,21,0,1
Male,26,AU,Student,131,98,0.24,Desktop,0,1,0
Other,34,UK,Free,203,10,0.1,Desktop,42,0,0
Female,32,CA,Premium,201,38,0.44,Web,0,1,0
Female,40,CA,Student,59,35,0.37,Desktop,0,1,0
Male,32,US,Family,119,39,0.45,Web,0,1,0
Female,51,CA,Premium,219,96,0.51,Web,0,1,1
Male,46,CA,Family,152,83,0.58,Mobile,0,1,0
Female,51,CA,Premium,157,9,0.57,Web,0,1,0
Female,38,CA,Free,89,59,0.15,Mobile,21,0,0
Female,54,FR,Family,63,68,0.21,Mobile,0,1,0
Male,59,UK,Premium,93,36,0.39,Desktop,0,1,0
Other,41,AU,Student,97,78,0.02,Web,0,1,0
Other,34,IN,Premium,289,79,0.09,Desktop,0,1,0
Female,55,IN,Family,291,39,0.3,Mobile,0,1,1
Female,34,UK,Family,291,70,0.22,Desktop,0,1,0
Female,20,UK,Student,218,76,0.58,Web,0,1,1
Female,20,CA,Premium,56,55,0.18,Web,0,1,0
Male,32,IN,Student,157,12,0.48,Web,0,1,1
Female,37,DE,Student,171,65,0.52,Web,0,1,1
Other,50,CA,Family,16,64,0.05,Web,0,1,0
Female,21,DE,Family,207,21,0.18,Web,0,1,1
Male,48,US,Premium,123,37,0.27,Web,0,1,0
Male,46,IN,Premium,55,48,0.47,Web,0,1,1
Other,44,AU,Free,49,43,0.25,Desktop,5,0,0
Female,55,PK,Free,62,57,0.58,Web,7,0,0
Female,57,AU,Student,85,32,0.0,Desktop,0,1,0
Other,41,CA,Family,78,33,0.04,Desktop,0,1,0
Male,50,CA,Free,107,7,0.42,Desktop,27,0,1
Other,32,FR,Free,202,29,0.14,Web,41,0,0
Male,51,PK,Family,211,25,0.51,Mobile,0,1,0
Female,26,FR,Free,73,27,0.19,Web,26,0,1
Male,22,PK,Premium,229,70,0.02,Desktop,0,1,0
Other,19,UK,Free,164,21,0.53,Desktop,8,0,0
Female,49,DE,Family,61,33,0.48,Desktop,0,1,1
Male,56,IN,Free,164,66,0.3,Desktop,34,0,0
Other,39,PK,Free,232,2,0.14,Mobile,27,0,0
Other,57,PK,Student,146,98,0.06,Mobile,0,1,1
Other,18,AU,Premium,42,27,0.22,Web,0,1,1
Male,43,CA,Free,265,89,0.56,Desktop,28,0,0
Female,32,US,Family,275,47,0.59,Mobile,0,1,1
Other,33,US,Student,295,1,0.03,Desktop,0,1,1
Other,16,IN,Free,269,13,0.54,Desktop,40,0,0
Other,50,FR,Family,224,18,0.09,Desktop,0,1,0
Female,42,PK,Free,51,60,0.22,Desktop,17,0,0
Other,49,UK,Family,100,49,0.37,Desktop,0,1,1
Female,35,FR,Premium,267,63,0.6,Web,0,1,0
Other,54,IN,Free,102,35,0.06,Mobile,40,0,0
Male,44,PK,Free,84,64,0.57,Web,23,0,1
Female,21,FR,Free,289,92,0.2,Mobile,27,0,1
Male,44,FR,Family,173,30,0.38,Desktop,0,1,0
Male,46,AU,Family,42,77,0.34,Web,0,1,0
Other,53,AU,Family,261,76,0.41,Desktop,0,1,0
Other,39,US,Free,163,2,0.03,Web,38,0,1
Other,26,AU,Student,175,9,0.37,Web,0,1,0
Female,35,DE,Student,259,96,0.48,Mobile,0,1,1
Other,51,PK,Premium,103,58,0.06,Mobile,0,1,0
Other,55,DE,Family,148,52,0.43,Desktop,0,1,0
Female,45,PK,Premium,50,19,0.02,Mobile,0,1,0
Female,53,PK,Family,187,27,0.11,Desktop,0,1,1
Female,16,DE,Student,57,48,0.52,Web,0,1,0
Male,32,FR,Free,51,70,0.38,Web,19,0,0
Other,26,FR,Free,146,4,0.59,Mobile,16,0,0
Female,48,UK,Free,210,60,0.05,Desktop,42,0,1
Other,59,UK,Family,58,55,0.25,Web,0,1,0
Female,42,IN,Family,124,11,0.16,Mobile,0,1,0
Female,40,IN,Student,273,80,0.26,Mobile,0,1,1
Female,53,PK,Free,49,74,0.47,Mobile,19,0,0
Female,38,US,Student,119,73,0.11,Web,0,1,0
Female,58,CA,Student,225,10,0.08,Web,0,1,0
Other,24,US,Free,203,75,0.26,Desktop,27,0,0
Other,36,DE,Family,21,11,0.28,Web,0,1,0
Female,53,UK,Student,120,66,0.25,Mobile,0,1,1
Male,21,AU,Student,59,34,0.11,Web,0,1,0
Male,43,FR,Family,272,5,0.24,Desktop,0,1,0
Female,26,US,Premium,228,24,0.12,Mobile,0,1,0
Male,23,DE,Student,131,23,0.32,Desktop,0,1,0
Female,40,PK,Student,103,39,0.08,Web,0,1,1
Female,37,CA,Free,152,87,0.57,Desktop,23,0,0
Male,33,PK,Family,261,18,0.28,Desktop,0,1,1
Other,26,US,Family,276,46,0.2,Mobile,0,1,1
Other,43,AU,Family,58,22,0.37,Desktop,0,1,0
Other,46,CA,Premium,118,98,0.53,Web,0,1,0
Male,23,AU,Free,256,83,0.17,Mobile,29,0,0
Female,30,CA,Free,84,22,0.25,Mobile,5,0,0
Female,32,AU,Premium,51,8,0.29,Desktop,0,1,0
Female,29,AU,Free,107,23,0.52,Web,17,0,1
Other,19,US,Free,289,61,0.31,Desktop,18,0,0
Male,19,AU,Premium,264,89,0.35,Web,0,1,0
Male,24,FR,Premium,227,97,0.03,Web,0,1,0
Other,16,UK,Free,97,86,0.15,Desktop,26,0,0
Male,44,CA,Premium,168,40,0.56,Mobile,0,1,1
Male,42,UK,Premium,23,66,0.49,Desktop,0,1,0
Female,55,FR,Premium,271,98,0.5,Desktop,0,1,1
Other,38,UK,Premium,104,59,0.01,Web,0,1,1
Male,30,AU,Free,251,59,0.11,Desktop,28,0,0
Female,20,CA,Student,105,75,0.25,Desktop,0,1,0
Female,40,AU,Student,281,77,0.38,Web,0,1,0
Female,58,FR,Free,93,50,0.18,Mobile,39,0,0
Other,20,AU,Family,146,74,0.33,Web,0,1,0
Male,43,DE,Premium,170,73,0.48,Desktop,0,1,0
Other,37,US,Premium,40,91,0.57,Mobile,0,1,0
Other,48,IN,Student,171,31,0.4,Desktop,0,1,0
Other,53,PK,Family,36,67,0.21,Mobile,0,1,0
Other,25,CA,Free,274,57,0.05,Web,38,0,0
Female,51,CA,Family,79,71,0.11,Desktop,0,1,0
Other,42,UK,Family,91,81,0.52,Mobile,0,1,0
Other,50,PK,Premium,69,20,0.13,Mobile,0,1,1
Other,56,FR,Family,14,93,0.07,Desktop,0,1,1
Female,47,US,Premium,55,7,0.54,Web,0,1,0
Male,41,US,Free,88,34,0.3,Web,48,0,0
Male,20,IN,Premium,236,78,0.35,Mobile,0,1,0
Male,57,IN,Free,214,85,0.58,Desktop,17,0,0
Other,35,DE,Free,172,5,0.05,Desktop,27,0,0
Male,40,PK,Family,163,11,0.3,Mobile,0,1,0
Female,46,IN,Premium,123,9,0.27,Desktop,0,1,0
Male,48,US,Free,251,28,0.49,Web,46,0,0
Other,49,UK,Free,191,92,0.49,Web,29,0,0
Male,44,AU,Family,35,14,0.44,Web,0,1,0
Other,47,AU,Student,250,86,0.0,Mobile,0,1,1
Other,46,PK,Student,247,67,0.32,Desktop,0,1,1
Other,44,FR,Premium,18,51,0.38,Web,0,1,1
Male,52,IN,Student,296,35,0.22,Web,0,1,0
Other,37,FR,Free,25,62,0.47,Mobile,14,0,0
Male,41,US,Premium,166,86,0.03,Desktop,0,1,0
Female,55,DE,Student,98,17,0.17,Desktop,0,1,1
Female,28,DE,Student,288,86,0.16,Mobile,0,1,1
Male,40,US,Premium,10,54,0.5,Web,0,1,0
Male,19,IN,Premium,188,15,0.27,Desktop,0,1,0
Male,53,CA,Free,65,55,0.56,Desktop,33,0,0
Other,20,FR,Family,210,82,0.51,Web,0,1,0
Female,18,UK,Student,128,28,0.33,Mobile,0,1,1
Female,25,US,Family,72,32,0.32,Desktop,0,1,1
Male,26,UK,Student,150,40,0.06,Desktop,0,1,0
Male,24,PK,Student,57,35,0.48,Web,0,1,0
Female,41,PK,Student,199,12,0.4,Web,0,1,1
Male,21,CA,Student,211,96,0.57,Desktop,0,1,0
Female,30,CA,Family,115,68,0.49,Desktop,0,1,0
Male,37,AU,Free,260,30,0.51,Web,37,0,0
Male,39,DE,Free,110,17,0.58,Desktop,24,0,0
Female,53,PK,Free,224,11,0.11,Mobile,12,0,0
Female,39,IN,Family,63,96,0.32,Mobile,0,1,0
Male,48,FR,Family,40,62,0.01,Mobile,0,1,0
Other,41,CA,Student,163,45,0.47,Web,0,1,1
Other,52,DE,Free,211,48,0.47,Desktop,27,0,0
Male,51,CA,Premium,72,82,0.44,Web,0,1,0
