OrderID;Date;CustomerID;Product;Category;Quantity;UnitPrice;Total;PaymentMethod;Country
46;2023-02-22 00:00:00;C2707;Mòbil;Electrònica;2;834,35;1668,7;Transferència;Alemanya
47;2023-07-22 00:00:00;C5218;Portàtil;Electrònica;4;1113,45;4453,8;Targeta;Espanya
48;2023-04-08 00:00:00;C1197;Ratolí;Accessoris;5;26,95;134,75;PayPal;França
49;2023-07-20 00:00:00;C5282;Tablet;Electrònica;1;449,12;449,12;PayPal;França
50;2023-09-16 00:00:00;C1659;USB;Accessoris;5;13,39;66,95;PayPal;Alemanya
51;2023-12-12 00:00:00;C2986;Cadira oficina;Oficina;4;138,23;552,92;Targeta;Països Baixos
52;2023-12-18 00:00:00;C2734;Portàtil;Electrònica;4;1366,65;5466,6;PayPal;Espanya
53;2023-05-08 00:00:00;C7694;USB;Accessoris;1;12,85;12,85;Transferència;Països Baixos
54;2023-09-24 00:00:00;C9155;Auriculars;Accessoris;1;188,61;188,61;Targeta;Espanya
55;2023-05-31 00:00:00;C6534;USB;Accessoris;2;38,08;76,16;Transferència;França
56;2023-09-20 00:00:00;C7287;USB;Accessoris;3;44,48;133,44;Targeta;Espanya
57;2023-03-01 00:00:00;C3049;Mòbil;Electrònica;1;1017,22;1017,22;PayPal;Alemanya
58;2023-02-06 00:00:00;C8158;Mòbil;Electrònica;4;1196,25;4785;Transferència;França
59;2023-05-27 00:00:00;C3255;Teclat;Accessoris;3;50,6;151,8;Targeta;Alemanya
60;2023-04-26 00:00:00;C2648;Tablet;Electrònica;1;822,83;822,83;PayPal;Països Baixos
61;2023-09-11 00:00:00;C3557;Impressora;Oficina;4;106,57;426,28;Targeta;Portugal
62;2023-12-15 00:00:00;C3961;Portàtil;Electrònica;1;1458,09;1458,09;PayPal;Espanya
63;2023-07-13 00:00:00;C3869;Auriculars;Accessoris;2;48,95;97,9;PayPal;Espanya
64;2023-06-18 00:00:00;C9352;Monitor;Electrònica;5;324,21;1621,05;PayPal;Alemanya
65;2023-10-31 00:00:00;C4987;USB;Accessoris;5;5,81;29,05;PayPal;Itàlia
66;2023-05-08 00:00:00;C5555;Cadira oficina;Oficina;3;147,95;443,85;PayPal;França
67;2023-02-20 00:00:00;C6895;Teclat;Accessoris;5;68,43;342,15;PayPal;Espanya
68;2023-10-04 00:00:00;C5893;Cadira oficina;Oficina;2;211,47;422,94;PayPal;Països Baixos
69;2023-11-13 00:00:00;C8683;Cadira oficina;Oficina;1;214,82;214,82;Transferència;Portugal
70;2023-01-17 00:00:00;C8339;Teclat;Accessoris;1;17,55;17,55;Targeta;França
71;2023-02-15 00:00:00;C4444;Tablet;Electrònica;5;855,34;4276,7;Targeta;Alemanya
72;2023-08-21 00:00:00;C2060;USB;Accessoris;4;44,76;179,04;PayPal;Alemanya
73;2023-10-29 00:00:00;C1606;Teclat;Accessoris;1;112,47;112,47;PayPal;França
74;2023-04-26 00:00:00;C1190;Impressora;Oficina;1;387,27;387,27;PayPal;França
75;2023-09-13 00:00:00;C4394;Tablet;Electrònica;1;379,27;379,27;Transferència;Espanya
76;2023-08-11 00:00:00;C7709;Cadira oficina;Oficina;1;100,68;100,68;Targeta;Alemanya
77;2023-10-15 00:00:00;C5014;Auriculars;Accessoris;2;145,29;290,58;Transferència;França
78;2023-05-07 00:00:00;C1154;Tablet;Electrònica;2;892,54;1785,08;PayPal;Itàlia
79;2023-09-30 00:00:00;C9096;Ratolí;Accessoris;2;30,67;61,34;PayPal;Espanya
80;2023-06-19 00:00:00;C3806;Cadira oficina;Oficina;5;92,79;463,95;Transferència;Espanya
81;2023-01-13 00:00:00;C7971;Mòbil;Electrònica;2;619,78;1239,56;PayPal;França
82;2023-02-05 00:00:00;C5780;Impressora;Oficina;1;228,97;228,97;Transferència;Alemanya
83;2023-05-23 00:00:00;C6919;Tablet;Electrònica;4;295,71;1182,84;Targeta;Itàlia
84;2023-06-02 00:00:00;C4769;Cadira oficina;Oficina;3;198,79;596,37;PayPal;Espanya
85;2023-05-30 00:00:00;C7457;Auriculars;Accessoris;5;117,68;588,4;Transferència;França
86;2023-06-29 00:00:00;C5777;Teclat;Accessoris;1;105,34;105,34;PayPal;Alemanya
87;2023-04-11 00:00:00;C4124;Impressora;Oficina;3;337,91;1013,73;Targeta;Itàlia
88;2023-01-05 00:00:00;C6222;Monitor;Electrònica;4;235,77;943,08;PayPal;França
89;2023-12-16 00:00:00;C5142;Tablet;Electrònica;5;214,01;1070,05;PayPal;Espanya
90;2023-05-24 00:00:00;C5465;Mòbil;Electrònica;4;899,51;3598,04;PayPal;Espanya
91;2023-05-25 00:00:00;C9311;Portàtil;Electrònica;3;1161,41;3484,23;Transferència;Itàlia
92;2023-02-27 00:00:00;C9932;Portàtil;Electrònica;4;989,58;3958,32;Transferència;Països Baixos
93;2023-05-09 00:00:00;C2081;USB;Accessoris;1;13,3;13,3;Targeta;Països Baixos
94;2023-04-06 00:00:00;C8805;Teclat;Accessoris;2;111,1;222,2;Targeta;Països Baixos
95;2023-08-25 00:00:00;C4343;Tablet;Electrònica;1;220,4;220,4;PayPal;Itàlia
96;2023-10-05 00:00:00;C8004;Ratolí;Accessoris;5;46,17;230,85;PayPal;Espanya
97;2023-06-03 00:00:00;C2679;Cadira oficina;Oficina;4;160,7;642,8;PayPal;Portugal
98;2023-10-12 00:00:00;C6188;Mòbil;Electrònica;1;358,65;358,65;Targeta;Itàlia
99;2023-07-23 00:00:00;C7617;Impressora;Oficina;4;82,95;331,8;Transferència;Països Baixos
100;2023-10-16 00:00:00;C8421;Monitor;Electrònica;4;345,81;1383,24;Transferència;Espanya
101;2023-01-10 00:00:00;C3849;Teclat;Accessoris;2;60,55;121,1;Targeta;Portugal
102;2023-09-07 00:00:00;C3489;Ratolí;Accessoris;2;28,26;56,52;PayPal;Països Baixos
103;2023-01-04 00:00:00;C3839;Tablet;Electrònica;5;525,78;2628,9;Targeta;Itàlia
104;2023-06-09 00:00:00;C1851;Teclat;Accessoris;2;114,11;228,22;Targeta;França
105;2023-06-12 00:00:00;C3427;Cadira oficina;Oficina;2;198,11;396,22;Targeta;Itàlia
106;2023-06-28 00:00:00;C6732;Tablet;Electrònica;5;246,38;1231,9;Transferència;França
107;2023-06-17 00:00:00;C4913;Ratolí;Accessoris;1;53,82;53,82;PayPal;França
108;2023-01-12 00:00:00;C6726;Impressora;Oficina;5;122,34;611,7;PayPal;Portugal
109;2023-08-30 00:00:00;C3082;Teclat;Accessoris;5;54,61;273,05;PayPal;Itàlia
110;2023-09-21 00:00:00;C7748;Ratolí;Accessoris;2;33,56;67,12;PayPal;Itàlia
111;2023-04-25 00:00:00;C9808;Ratolí;Accessoris;2;69,14;138,28;PayPal;França
112;2023-04-24 00:00:00;C1412;Cadira oficina;Oficina;2;179,05;358,1;Targeta;Països Baixos
113;2023-10-04 00:00:00;C8164;Cadira oficina;Oficina;1;69,4;69,4;Transferència;Països Baixos
114;2023-12-23 00:00:00;C3504;Teclat;Accessoris;2;44,61;89,22;PayPal;Itàlia
115;2023-06-26 00:00:00;C2122;USB;Accessoris;3;30,58;91,74;Transferència;Itàlia
116;2023-04-06 00:00:00;C7806;Monitor;Electrònica;2;306,31;612,62;Transferència;Portugal
117;2023-09-25 00:00:00;C4440;Mòbil;Electrònica;5;1130,76;5653,8;PayPal;França
118;2023-12-21 00:00:00;C5968;Impressora;Oficina;1;287,95;287,95;Targeta;França
119;2023-03-03 00:00:00;C9787;Tablet;Electrònica;1;433,3;433,3;Transferència;Alemanya
120;2023-07-06 00:00:00;C8186;Teclat;Accessoris;5;101,78;508,9;Transferència;Portugal
121;2023-08-21 00:00:00;C9082;Teclat;Accessoris;4;55,87;223,48;Targeta;Alemanya
122;2023-07-25 00:00:00;C3782;Tablet;Electrònica;4;218,47;873,88;Targeta;Portugal
123;2023-05-24 00:00:00;C5980;USB;Accessoris;3;47,78;143,34;PayPal;Països Baixos
124;2023-01-25 00:00:00;C6588;Teclat;Accessoris;4;24,63;98,52;Transferència;Itàlia
125;2023-02-08 00:00:00;C3156;Auriculars;Accessoris;1;155,43;155,43;Targeta;Espanya
126;2023-08-11 00:00:00;C5729;Teclat;Accessoris;2;112,75;225,5;Transferència;Espanya
127;2023-08-23 00:00:00;C9010;Tablet;Electrònica;5;481,15;2405,75;Transferència;Països Baixos
128;2023-01-09 00:00:00;C8241;Cadira oficina;Oficina;4;88,1;352,4;Transferència;Espanya
129;2023-09-10 00:00:00;C2542;Ratolí;Accessoris;1;68,59;68,59;PayPal;Alemanya
130;2023-10-10 00:00:00;C3681;Monitor;Electrònica;2;313,05;626,1;Transferència;Portugal
131;2023-06-14 00:00:00;C6541;Cadira oficina;Oficina;5;95,19;475,95;Transferència;Portugal
132;2023-11-17 00:00:00;C2365;Monitor;Electrònica;5;593,32;2966,6;Targeta;Països Baixos
133;2023-10-28 00:00:00;C4141;Cadira oficina;Oficina;1;255,07;255,07;PayPal;Itàlia
134;2023-12-30 00:00:00;C6301;USB;Accessoris;3;36,87;110,61;PayPal;Portugal
135;2023-12-12 00:00:00;C5268;Ratolí;Accessoris;2;59,36;118,72;Transferència;França
136;2023-05-06 00:00:00;C7619;Teclat;Accessoris;4;16,19;64,76;PayPal;França
137;2023-01-01 00:00:00;C7530;Auriculars;Accessoris;1;158,1;158,1;Targeta;França
138;2023-07-10 00:00:00;C2531;Teclat;Accessoris;1;76,25;76,25;Targeta;Països Baixos
139;2023-04-27 00:00:00;C1133;Monitor;Electrònica;1;242,86;242,86;PayPal;Itàlia
140;2023-06-09 00:00:00;C7316;Tablet;Electrònica;5;751,58;3757,9;Transferència;Espanya
141;2023-03-21 00:00:00;C6348;Tablet;Electrònica;5;182,37;911,85;Transferència;Països Baixos
142;2023-01-20 00:00:00;C7190;Teclat;Accessoris;3;41,56;124,68;Transferència;Espanya
143;2023-02-23 00:00:00;C9053;Portàtil;Electrònica;1;1240,58;1240,58;Transferència;Alemanya
144;2023-01-12 00:00:00;C2353;Teclat;Accessoris;1;55,34;55,34;Transferència;Alemanya
145;2023-06-05 00:00:00;C5468;Portàtil;Electrònica;4;1465,29;5861,16;Targeta;Itàlia
146;2023-06-13 00:00:00;C4719;Monitor;Electrònica;4;238,69;954,76;Transferència;Països Baixos
147;2023-01-28 00:00:00;C5964;Auriculars;Accessoris;2;83,6;167,2;PayPal;Països Baixos
148;2023-05-25 00:00:00;C6320;Portàtil;Electrònica;3;1482,08;4446,24;PayPal;Espanya
149;2023-08-08 00:00:00;C1924;Cadira oficina;Oficina;4;134,29;537,16;Transferència;Alemanya
150;2023-09-10 00:00:00;C6713;Portàtil;Electrònica;3;893,23;2679,69;Transferència;França
151;2023-10-30 00:00:00;C1009;Cadira oficina;Oficina;5;159,99;799,95;PayPal;França
152;2023-09-08 00:00:00;C6124;Teclat;Accessoris;2;112,94;225,88;Transferència;Països Baixos
153;2023-03-06 00:00:00;C3193;Tablet;Electrònica;1;169,78;169,78;Transferència;Alemanya
154;2023-09-24 00:00:00;C8449;Tablet;Electrònica;1;890,46;890,46;Targeta;Portugal
155;2023-10-10 00:00:00;C5784;Auriculars;Accessoris;3;88,56;265,68;Transferència;Espanya
156;2023-04-15 00:00:00;C8266;USB;Accessoris;2;42,72;85,44;Transferència;Espanya
157;2023-11-07 00:00:00;C3000;Tablet;Electrònica;5;250,39;1251,95;Transferència;Itàlia
158;2023-12-24 00:00:00;C2460;Impressora;Oficina;5;237,02;1185,1;Transferència;Alemanya
159;2023-06-14 00:00:00;C5809;Impressora;Oficina;5;254,8;1274;Transferència;Itàlia
160;2023-03-26 00:00:00;C8245;Monitor;Electrònica;1;524,82;524,82;Targeta;Portugal
161;2023-02-20 00:00:00;C5780;Cadira oficina;Oficina;1;109,21;109,21;Transferència;Alemanya
162;2023-10-15 00:00:00;C4419;Tablet;Electrònica;1;604,63;604,63;PayPal;Alemanya
163;2023-09-07 00:00:00;C9865;Auriculars;Accessoris;2;68,36;136,72;Targeta;Espanya
164;2023-11-02 00:00:00;C5363;Portàtil;Electrònica;3;1133,35;3400,05;Transferència;Itàlia
165;2023-08-10 00:00:00;C5858;Tablet;Electrònica;4;762,29;3049,16;PayPal;Portugal
166;2023-12-07 00:00:00;C5673;USB;Accessoris;5;23,16;115,8;PayPal;Alemanya
167;2023-08-14 00:00:00;C7949;Teclat;Accessoris;4;99,53;398,12;PayPal;Països Baixos
168;2023-10-13 00:00:00;C8002;Portàtil;Electrònica;2;1225,66;2451,32;Targeta;França
169;2023-11-04 00:00:00;C5261;Impressora;Oficina;2;81,85;163,7;PayPal;Itàlia
170;2023-01-30 00:00:00;C5854;Auriculars;Accessoris;4;101,16;404,64;Transferència;Itàlia
171;2023-05-13 00:00:00;C5892;Auriculars;Accessoris;1;114,25;114,25;PayPal;Itàlia
172;2023-11-26 00:00:00;C3832;Impressora;Oficina;1;101,48;101,48;Transferència;Espanya
173;2023-02-03 00:00:00;C8941;Ratolí;Accessoris;5;28,08;140,4;Targeta;Alemanya
174;2023-05-06 00:00:00;C4818;Monitor;Electrònica;5;346,31;1731,55;Targeta;Països Baixos
175;2023-04-21 00:00:00;C1760;Impressora;Oficina;3;252,88;758,64;Targeta;Països Baixos
176;2023-01-08 00:00:00;C9472;Cadira oficina;Oficina;3;170,43;511,29;Transferència;Alemanya
177;2023-06-04 00:00:00;C5188;USB;Accessoris;3;45,36;136,08;Transferència;França
178;2023-05-02 00:00:00;C8570;Teclat;Accessoris;5;117,18;585,9;Transferència;Itàlia
179;2023-04-02 00:00:00;C5777;Ratolí;Accessoris;2;67,53;135,06;Transferència;Països Baixos
180;2023-11-22 00:00:00;C7376;Tablet;Electrònica;5;282,76;1413,8;PayPal;Itàlia
181;2023-03-19 00:00:00;C8240;Ratolí;Accessoris;2;34,92;69,84;Targeta;Espanya
182;2023-08-02 00:00:00;C7493;Impressora;Oficina;1;82,3;82,3;Transferència;Països Baixos
183;2023-12-03 00:00:00;C2276;Impressora;Oficina;5;104,94;524,7;Transferència;Alemanya
184;2023-01-28 00:00:00;C9150;Ratolí;Accessoris;2;79,04;158,08;Transferència;Espanya
185;2023-12-31 00:00:00;C7809;Teclat;Accessoris;2;70,78;141,56;Transferència;Alemanya
186;2023-01-07 00:00:00;C6122;Impressora;Oficina;3;62,84;188,52;Transferència;Portugal
187;2023-08-27 00:00:00;C2531;Monitor;Electrònica;3;547,6;1642,8;PayPal;Itàlia
188;2023-10-21 00:00:00;C7882;Impressora;Oficina;2;87,51;175,02;Transferència;Espanya
189;2023-04-29 00:00:00;C9905;Portàtil;Electrònica;1;1078,01;1078,01;Transferència;Itàlia
190;2023-08-19 00:00:00;C7229;Monitor;Electrònica;1;381,98;381,98;Transferència;Espanya
191;2023-01-25 00:00:00;C7288;Portàtil;Electrònica;4;1029,25;4117;PayPal;Espanya
192;2023-03-09 00:00:00;C8561;Mòbil;Electrònica;1;542,93;542,93;Targeta;Espanya
193;2023-05-26 00:00:00;C7371;USB;Accessoris;5;40,51;202,55;Transferència;Països Baixos
194;2023-04-21 00:00:00;C8943;Portàtil;Electrònica;2;1175,97;2351,94;PayPal;Països Baixos
195;2023-03-24 00:00:00;C3472;USB;Accessoris;4;31,39;125,56;Transferència;Itàlia
196;2023-10-09 00:00:00;C2761;Monitor;Electrònica;4;268,72;1074,88;Targeta;Països Baixos
197;2023-12-31 00:00:00;C4812;Mòbil;Electrònica;3;444,35;1333,05;Transferència;Espanya
198;2023-05-30 00:00:00;C2733;Tablet;Electrònica;5;850,27;4251,35;PayPal;França
199;2023-12-16 00:00:00;C7986;Monitor;Electrònica;4;282,68;1130,72;Transferència;Espanya
200;2023-09-04 00:00:00;C9434;Mòbil;Electrònica;1;287,89;287,89;Transferència;França
201;2023-02-05 00:00:00;C6342;Monitor;Electrònica;5;109,12;545,6;Targeta;Alemanya
202;2023-08-08 00:00:00;C9195;USB;Accessoris;4;45,35;181,4;Transferència;França
203;2023-04-04 00:00:00;C3551;Portàtil;Electrònica;1;803,71;803,71;Transferència;Itàlia
204;2023-07-13 00:00:00;C1846;USB;Accessoris;1;37,53;37,53;PayPal;Espanya
205;2023-06-22 00:00:00;C7469;Teclat;Accessoris;2;71,18;142,36;Transferència;Itàlia
206;2023-10-02 00:00:00;C9915;Teclat;Accessoris;4;116,64;466,56;Targeta;Portugal
207;2023-05-20 00:00:00;C3048;Cadira oficina;Oficina;1;181,83;181,83;Transferència;Països Baixos
208;2023-05-19 00:00:00;C7988;USB;Accessoris;5;32,48;162,4;Transferència;Espanya
209;2023-06-27 00:00:00;C1009;Auriculars;Accessoris;1;115,87;115,87;Transferència;Itàlia
210;2023-06-21 00:00:00;C8041;Cadira oficina;Oficina;2;191,66;383,32;PayPal;Espanya
211;2023-03-25 00:00:00;C9512;Mòbil;Electrònica;2;522,35;1044,7;Targeta;Itàlia
212;2023-09-30 00:00:00;C3824;Teclat;Accessoris;1;29,58;29,58;PayPal;Itàlia
213;2023-04-04 00:00:00;C8984;Auriculars;Accessoris;3;127,21;381,63;PayPal;Països Baixos
214;2023-08-24 00:00:00;C2908;Tablet;Electrònica;4;788,05;3152,2;Transferència;Alemanya
215;2023-03-17 00:00:00;C9162;Cadira oficina;Oficina;1;235,41;235,41;Transferència;Espanya
216;2023-11-16 00:00:00;C6468;Mòbil;Electrònica;4;266,5;1066;PayPal;Espanya
217;2023-08-17 00:00:00;C7413;Cadira oficina;Oficina;1;93,55;93,55;Targeta;França
218;2023-08-01 00:00:00;C3898;Mòbil;Electrònica;3;999,54;2998,62;PayPal;Països Baixos
219;2023-03-03 00:00:00;C5227;Teclat;Accessoris;2;84,85;169,7;PayPal;Espanya
220;2023-03-30 00:00:00;C7943;Monitor;Electrònica;2;258,1;516,2;Transferència;Itàlia
221;2023-01-23 00:00:00;C5670;Teclat;Accessoris;1;63,58;63,58;PayPal;Països Baixos
222;2023-05-25 00:00:00;C2248;Auriculars;Accessoris;1;110,49;110,49;Targeta;Alemanya
223;2023-11-05 00:00:00;C4687;Portàtil;Electrònica;2;1074,04;2148,08;Targeta;Alemanya
224;2023-07-17 00:00:00;C6765;Ratolí;Accessoris;3;26,03;78,09;PayPal;Portugal
225;2023-02-11 00:00:00;C6567;Teclat;Accessoris;3;49,95;149,85;Transferència;Països Baixos
226;2023-10-16 00:00:00;C9669;Teclat;Accessoris;5;32,51;162,55;Transferència;Portugal
227;2023-06-06 00:00:00;C2120;Cadira oficina;Oficina;4;274,53;1098,12;Transferència;Itàlia
228;2023-10-16 00:00:00;C6373;Cadira oficina;Oficina;3;229,68;689,04;Targeta;Portugal
229;2023-01-10 00:00:00;C5612;Impressora;Oficina;2;121,59;243,18;Targeta;Portugal
230;2023-04-28 00:00:00;C7028;Cadira oficina;Oficina;1;270,42;270,42;Targeta;Alemanya
231;2023-12-31 00:00:00;C7359;Monitor;Electrònica;4;155,32;621,28;Transferència;Espanya
232;2023-05-16 00:00:00;C3371;Mòbil;Electrònica;5;803,96;4019,8;Transferència;Portugal
233;2023-04-05 00:00:00;C3674;Ratolí;Accessoris;2;60,56;121,12;Targeta;França
234;2023-10-09 00:00:00;C3116;Mòbil;Electrònica;4;893,95;3575,8;Transferència;Alemanya
235;2023-12-26 00:00:00;C7166;Mòbil;Electrònica;2;1026,8;2053,6;Targeta;Països Baixos
236;2023-08-06 00:00:00;C8783;Cadira oficina;Oficina;3;170,88;512,64;PayPal;Portugal
237;2023-04-21 00:00:00;C1827;Auriculars;Accessoris;1;111,06;111,06;Transferència;Països Baixos
238;2023-12-22 00:00:00;C4876;Monitor;Electrònica;4;396,48;1585,92;Targeta;Espanya
239;2023-04-02 00:00:00;C7024;Mòbil;Electrònica;2;907,24;1814,48;Targeta;Portugal
240;2023-10-23 00:00:00;C4368;Portàtil;Electrònica;5;1096,89;5484,45;Targeta;Països Baixos
241;2023-10-29 00:00:00;C6732;Tablet;Electrònica;1;844,18;844,18;PayPal;Països Baixos
242;2023-07-01 00:00:00;C4030;USB;Accessoris;4;49,32;197,28;Transferència;Portugal
243;2023-05-29 00:00:00;C8112;Auriculars;Accessoris;3;185,75;557,25;PayPal;Itàlia
244;2023-11-09 00:00:00;C5212;Cadira oficina;Oficina;2;238,62;477,24;PayPal;Portugal
245;2023-03-04 00:00:00;C1536;Monitor;Electrònica;3;401,86;1205,58;PayPal;França
246;2023-07-29 00:00:00;C9666;Impressora;Oficina;2;352,23;704,46;Transferència;França
247;2023-05-08 00:00:00;C5971;Cadira oficina;Oficina;1;237;237;Transferència;França
248;2023-06-29 00:00:00;C4572;Teclat;Accessoris;1;110,84;110,84;Targeta;Alemanya
249;2023-10-12 00:00:00;C5757;USB;Accessoris;1;46,17;46,17;PayPal;Països Baixos
250;2023-02-18 00:00:00;C1966;Impressora;Oficina;2;127,03;254,06;PayPal;Alemanya
251;2023-06-26 00:00:00;C5243;Teclat;Accessoris;1;117,43;117,43;Targeta;Alemanya
252;2023-03-04 00:00:00;C7704;Teclat;Accessoris;4;58,54;234,16;Targeta;Portugal
253;2023-08-03 00:00:00;C3482;Portàtil;Electrònica;5;1009,72;5048,6;PayPal;Espanya
254;2023-11-14 00:00:00;C3079;Mòbil;Electrònica;3;409,91;1229,73;Transferència;Portugal
255;2023-10-13 00:00:00;C8311;USB;Accessoris;1;26,07;26,07;Transferència;Portugal
256;2023-09-14 00:00:00;C6490;Tablet;Electrònica;2;573,63;1147,26;Transferència;Alemanya
257;2023-04-23 00:00:00;C6797;Monitor;Electrònica;2;326,64;653,28;Targeta;Espanya
258;2023-09-21 00:00:00;C9038;Cadira oficina;Oficina;4;243,69;974,76;PayPal;Espanya
259;2023-06-11 00:00:00;C4451;Monitor;Electrònica;2;476,62;953,24;Transferència;Països Baixos
260;2023-10-15 00:00:00;C4462;Tablet;Electrònica;4;750,56;3002,24;Transferència;Espanya
261;2023-11-09 00:00:00;C6954;Teclat;Accessoris;1;84,19;84,19;Transferència;Alemanya
262;2023-09-12 00:00:00;C9519;Tablet;Electrònica;3;323,31;969,93;Transferència;Espanya
263;2023-03-08 00:00:00;C8218;Mòbil;Electrònica;5;304,11;1520,55;PayPal;Espanya
264;2023-10-18 00:00:00;C3143;Auriculars;Accessoris;2;137,49;274,98;PayPal;Portugal
265;2023-06-14 00:00:00;C7612;Cadira oficina;Oficina;3;297,29;891,87;Targeta;Països Baixos
266;2023-01-07 00:00:00;C5425;Portàtil;Electrònica;2;1084,47;2168,94;Targeta;Portugal
267;2023-05-27 00:00:00;C4695;Mòbil;Electrònica;5;285,51;1427,55;Targeta;Alemanya
268;2023-10-12 00:00:00;C5177;Monitor;Electrònica;4;190,72;762,88;Transferència;Itàlia
269;2023-01-11 00:00:00;C5841;Cadira oficina;Oficina;5;274,24;1371,2;PayPal;Països Baixos
270;2023-04-29 00:00:00;C5491;Monitor;Electrònica;3;512,55;1537,65;Targeta;Països Baixos
271;2023-09-13 00:00:00;C8083;Auriculars;Accessoris;5;169,52;847,6;Transferència;Portugal
272;2023-12-08 00:00:00;C2387;Monitor;Electrònica;2;209,76;419,52;Targeta;Països Baixos
273;2023-06-07 00:00:00;C3679;Tablet;Electrònica;2;255,08;510,16;Transferència;França
